symbol,year,grammar_cell,state_rows,onsets,episodes,duration_minutes_median,duration_minutes_p95
PF_APEUSD,2025,trade_downside+mark_downside+structural_rejection,13889,9331,9331,5.0,15.0
PF_APEUSD,2023,trade_downside+mark_downside+structural_rejection+oi,3615,2856,2856,5.0,10.0
PF_APEUSD,2024,trade_downside+mark_downside+structural_rejection+oi,7747,5316,5316,5.0,15.0
PF_APEUSD,2025,trade_downside+mark_downside+structural_rejection+oi,6580,4644,4644,5.0,15.0
PF_APEUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation,49,37,37,5.0,10.0
PF_APEUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation,350,235,235,5.0,15.0
PF_APEUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation,169,110,110,5.0,15.0
PF_APEUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_level,909,770,770,5.0,10.0
PF_APEUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_level,2377,1725,1725,5.0,15.0
PF_APEUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_level,2602,2055,2055,5.0,10.0
PF_APEUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_APEUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_APEUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_APEUSD,2023,trade_downside+mark_downside+structural_rejection+oi+breadth,415,342,342,5.0,10.0
PF_APEUSD,2024,trade_downside+mark_downside+structural_rejection+oi+breadth,1977,1400,1400,5.0,15.0
PF_APEUSD,2025,trade_downside+mark_downside+structural_rejection+oi+breadth,2195,1599,1599,5.0,15.0
PF_APEUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_APEUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_APEUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_API3USD,2023,trade_downside+mark_downside+structural_rejection,0,0,0,,
PF_API3USD,2024,trade_downside+mark_downside+structural_rejection,2797,2287,2287,5.0,10.0
PF_API3USD,2025,trade_downside+mark_downside+structural_rejection,432,345,345,5.0,10.0
PF_API3USD,2023,trade_downside+mark_downside+structural_rejection+oi,0,0,0,,
PF_API3USD,2024,trade_downside+mark_downside+structural_rejection+oi,1096,896,896,5.0,10.0
PF_API3USD,2025,trade_downside+mark_downside+structural_rejection+oi,205,158,158,5.0,15.0
PF_API3USD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_API3USD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_API3USD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_API3USD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_level,0,0,0,,
PF_API3USD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_level,444,382,382,5.0,10.0
PF_API3USD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_level,76,60,60,5.0,10.249999999999986
PF_API3USD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_API3USD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_API3USD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_change,92,75,75,5.0,11.499999999999986
PF_API3USD,2023,trade_downside+mark_downside+structural_rejection+oi+breadth,0,0,0,,
PF_API3USD,2024,trade_downside+mark_downside+structural_rejection+oi+breadth,329,265,265,5.0,10.0
PF_API3USD,2025,trade_downside+mark_downside+structural_rejection+oi+breadth,56,45,45,5.0,13.999999999999986
PF_API3USD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_API3USD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_API3USD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_APTUSD,2023,trade_downside+mark_downside+structural_rejection,2801,2354,2354,5.0,10.0
PF_APTUSD,2024,trade_downside+mark_downside+structural_rejection,14680,9852,9852,5.0,15.0
PF_APTUSD,2025,trade_downside+mark_downside+structural_rejection,15093,10050,10050,5.0,15.0
PF_APTUSD,2023,trade_downside+mark_downside+structural_rejection+oi,1231,1049,1049,5.0,10.0
PF_APTUSD,2024,trade_downside+mark_downside+structural_rejection+oi,7362,5173,5173,5.0,15.0
PF_APTUSD,2025,trade_downside+mark_downside+structural_rejection+oi,7722,5413,5413,5.0,15.0
PF_APTUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation,21,16,16,5.0,11.25
PF_APTUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation,356,234,234,5.0,20.0
PF_APTUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation,379,252,252,5.0,15.0
PF_APTUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_level,281,253,253,5.0,10.0
PF_APTUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_level,2154,1705,1705,5.0,10.0
PF_APTUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_level,2589,1961,1961,5.0,15.0
PF_APTUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_APTUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_APTUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_APTUSD,2023,trade_downside+mark_downside+structural_rejection+oi+breadth,211,177,177,5.0,10.0
