symbol,year,rows,eligible_rows,price_available,OI_available,liquidation_available,basis_level_available,basis_change_available,breadth_available
PF_MNTUSD,2023,0,0,0,0,0,0,0,0
PF_MNTUSD,2024,48805,0,48793,48693,0,40320,2592,48805
PF_MNTUSD,2025,104833,14112,104833,101120,0,65377,21600,104833
PF_MOGUSD,2023,0,0,0,0,0,0,0,0
PF_MOGUSD,2024,39575,1440,39563,39563,31104,31104,0,39575
PF_MOGUSD,2025,104833,27648,104833,104833,43488,104833,14400,104833
PF_MOODENGUSD,2023,0,0,0,0,0,0,0,0
PF_MOODENGUSD,2024,17639,1440,17627,17627,9216,9216,0,17639
PF_MOODENGUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_MORPHOUSD,2023,0,0,0,0,0,0,0,0
PF_MORPHOUSD,2024,10167,1440,10155,10155,1728,1728,1728,10167
PF_MORPHOUSD,2025,104833,42048,104833,104833,22464,104833,29376,104833
PF_MOVEUSD,2023,0,0,0,0,0,0,0,0
PF_MOVEUSD,2024,3228,0,3216,3216,0,0,0,3228
PF_MOVEUSD,2025,104833,35712,104833,104833,7488,99649,3168,104833
PF_MOVRUSD,2023,0,0,0,0,0,0,0,0
PF_MOVRUSD,2024,66290,0,66278,66278,0,57888,0,66290
PF_MOVRUSD,2025,104833,1440,104833,104833,0,104833,74305,104833
PF_NEARUSD,2023,86259,84096,86247,86247,2880,77760,0,86259
PF_NEARUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_NEARUSD,2025,104833,104833,104833,104833,104833,104833,28225,104833
PF_NEIROUSD,2023,0,0,0,0,0,0,0,0
PF_NEIROUSD,2024,24015,1440,24003,24003,15552,15552,0,24015
PF_NEIROUSD,2025,104833,98209,104833,104833,22464,104833,0,104833
PF_NEOUSD,2023,0,0,0,0,0,0,0,0
PF_NEOUSD,2024,72354,0,72342,72281,0,63936,0,72354
PF_NEOUSD,2025,104833,576,104833,104833,0,104833,8065,104833
PF_NMRUSD,2023,0,0,0,0,0,0,0,0
PF_NMRUSD,2024,51906,0,51894,51725,0,43488,0,51906
PF_NMRUSD,2025,104833,23328,104833,104833,12384,104833,27649,104833
PF_NOTUSD,2023,0,0,0,0,0,0,0,0
PF_NOTUSD,2024,50497,1440,50485,50485,28512,42048,0,50497
PF_NOTUSD,2025,104833,28512,104833,104833,864,104833,1440,104833
PF_OGNUSD,2023,86257,84096,86245,86245,0,77760,0,86257
PF_OGNUSD,2024,105408,72864,105408,105408,0,105408,23904,105408
PF_OGNUSD,2025,104833,0,104833,104833,0,104833,27361,104833
PF_ONDOUSD,2023,0,0,0,0,0,0,0,0
PF_ONDOUSD,2024,76116,68832,76104,76088,42624,67680,0,76116
PF_ONDOUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_OPUSD,2023,86258,84096,86246,86246,1440,77760,0,86258
PF_OPUSD,2024,105408,105408,105408,105408,68832,91872,0,105408
PF_OPUSD,2025,104833,104833,104833,104833,45792,91009,0,104833
PF_ORDIUSD,2023,0,0,0,0,0,0,0,0
PF_ORDIUSD,2024,98623,68832,98611,98558,60768,90144,0,98623
PF_ORDIUSD,2025,104833,104833,104833,104833,864,104833,0,104833
PF_PENDLEUSD,2023,0,0,0,0,0,0,0,0
PF_PENDLEUSD,2024,62331,0,62319,62319,4032,53856,0,62331
PF_PENDLEUSD,2025,104833,96193,104833,104833,0,104833,0,104833
PF_PENGUUSD,2023,0,0,0,0,0,0,0,0
PF_PENGUUSD,2024,3249,0,3237,3237,0,0,0,3249
PF_PENGUUSD,2025,104833,88129,104833,104833,86113,99649,0,104833
PF_PEOPLEUSD,2023,0,0,0,0,0,0,0,0
PF_PEOPLEUSD,2024,58576,0,58564,58545,8352,50112,0,58576
PF_PEOPLEUSD,2025,104833,9216,104833,104833,0,104833,0,104833
PF_PEPEUSD,2023,63501,576,63489,63489,46656,55008,0,63501
PF_PEPEUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_PEPEUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_PNUTUSD,2023,0,0,0,0,0,0,0,0
PF_PNUTUSD,2024,10173,1440,10161,10161,1728,1728,0,10173
PF_PNUTUSD,2025,104833,98497,104833,104833,37440,104833,0,104833
PF_POLUSD,2023,0,0,0,0,0,0,0,0
PF_POLUSD,2024,29506,1440,29494,29494,3168,21024,0,29506
PF_POLUSD,2025,104833,104833,104833,104833,68257,104833,0,104833
PF_POPCATUSD,2023,0,0,0,0,0,0,0,0
PF_POPCATUSD,2024,56529,1440,56517,56474,48096,48096,20448,56529
PF_POPCATUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_PUMPUSD,2023,0,0,0,0,0,0,0,0
PF_PUMPUSD,2024,0,0,0,0,0,0,0,0
PF_PUMPUSD,2025,48734,33985,48722,48722,40321,40321,1440,48734
