symbol,first_raw_OI_timestamp,first_complete_causal_lookback,first_admissible_onset_timestamp,invalid_boundary_start,invalid_boundary_end,truncation_status,gap_count,OI_missing_bars_inside_retention,last_raw_OI_timestamp
PF_MNTUSD,2024-07-15 12:55:00+00:00,,,2024-07-15 12:55:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_MOGUSD,2024-08-16 14:05:00+00:00,2024-12-27 00:00:00+00:00,2024-12-27 13:35:00+00:00,2024-08-16 14:05:00+00:00,2024-12-27 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_MOODENGUSD,2024-10-31 18:05:00+00:00,2024-12-27 00:00:00+00:00,2024-12-27 00:15:00+00:00,2024-10-31 18:05:00+00:00,2024-12-27 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_MORPHOUSD,2024-11-26 16:45:00+00:00,2024-12-27 00:00:00+00:00,2024-12-27 00:10:00+00:00,2024-11-26 16:45:00+00:00,2024-12-27 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_MOVEUSD,2024-12-20 19:00:00+00:00,,,2024-12-20 19:00:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_MOVRUSD,2024-05-15 19:50:00+00:00,,,2024-05-15 19:50:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_NEARUSD,2023-03-07 11:45:00+00:00,2023-04-06 00:00:00+00:00,2023-04-06 01:05:00+00:00,2023-03-07 11:45:00+00:00,2023-04-06 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_NEIROUSD,2024-10-09 14:45:00+00:00,2024-12-27 00:00:00+00:00,2024-12-27 15:45:00+00:00,2024-10-09 14:45:00+00:00,2024-12-27 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_NEOUSD,2024-04-24 18:30:00+00:00,,,2024-04-24 18:30:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_NMRUSD,2024-07-04 18:30:00+00:00,2025-10-15 00:00:00+00:00,2025-10-15 01:10:00+00:00,2024-07-04 18:30:00+00:00,2025-10-15 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_NOTUSD,2024-07-09 15:55:00+00:00,,,2024-07-09 15:55:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_OGNUSD,2023-03-07 11:55:00+00:00,,,2023-03-07 11:55:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_ONDOUSD,2024-04-11 17:00:00+00:00,2024-06-26 00:00:00+00:00,2024-06-26 04:25:00+00:00,2024-04-11 17:00:00+00:00,2024-06-26 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_OPUSD,2023-03-07 11:50:00+00:00,2024-01-12 00:00:00+00:00,2024-01-12 00:20:00+00:00,2023-03-07 11:50:00+00:00,2024-01-12 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_ORDIUSD,2024-01-24 13:25:00+00:00,2024-05-07 00:00:00+00:00,2024-05-07 00:05:00+00:00,2024-01-24 13:25:00+00:00,2024-05-07 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_PENDLEUSD,2024-05-29 13:45:00+00:00,,,2024-05-29 13:45:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_PENGUUSD,2024-12-20 17:15:00+00:00,2025-02-28 00:00:00+00:00,2025-02-28 02:05:00+00:00,2024-12-20 17:15:00+00:00,2025-02-28 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_PEOPLEUSD,2024-06-11 14:40:00+00:00,,,2024-06-11 14:40:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_PEPEUSD,2023-05-25 12:15:00+00:00,2023-12-30 00:00:00+00:00,2023-12-30 04:50:00+00:00,2023-05-25 12:15:00+00:00,2023-12-30 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_PNUTUSD,2024-11-26 16:15:00+00:00,2025-01-27 00:00:00+00:00,2025-01-27 02:15:00+00:00,2024-11-26 16:15:00+00:00,2025-01-27 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_POLUSD,2024-09-20 13:10:00+00:00,2024-12-27 00:00:00+00:00,2024-12-27 00:15:00+00:00,2024-09-20 13:10:00+00:00,2024-12-27 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_POPCATUSD,2024-06-18 17:15:00+00:00,2024-12-27 00:00:00+00:00,2024-12-27 00:15:00+00:00,2024-06-18 17:15:00+00:00,2024-12-27 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_PUMPUSD,2025-07-14 18:55:00+00:00,2025-09-04 00:00:00+00:00,2025-09-04 00:20:00+00:00,2025-07-14 18:55:00+00:00,2025-09-04 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_PYTHUSD,2023-11-29 18:55:00+00:00,2023-12-30 00:00:00+00:00,2023-12-30 02:00:00+00:00,2023-11-29 18:55:00+00:00,2023-12-30 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_QNTUSD,2023-03-07 12:30:00+00:00,,,2023-03-07 12:30:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_QTUMUSD,2023-03-07 11:45:00+00:00,,,2023-03-07 11:45:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_RAYUSD,2024-10-24 20:45:00+00:00,2024-12-27 00:00:00+00:00,2024-12-27 02:50:00+00:00,2024-10-24 20:45:00+00:00,2024-12-27 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_RENDERUSD,2024-07-30 16:05:00+00:00,2024-12-27 00:00:00+00:00,2024-12-27 03:30:00+00:00,2024-07-30 16:05:00+00:00,2024-12-27 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_RLCUSD,2023-04-12 22:00:00+00:00,,,2023-04-12 22:00:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_RSRUSD,2024-09-25 16:55:00+00:00,,,2024-09-25 16:55:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_RUNEUSD,2023-03-07 11:50:00+00:00,2023-12-14 00:00:00+00:00,2023-12-14 00:40:00+00:00,2023-03-07 11:50:00+00:00,2023-12-14 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_SAGAUSD,2024-04-14 00:30:00+00:00,,,2024-04-14 00:30:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_SEIUSD,2024-03-13 13:10:00+00:00,2024-05-07 00:00:00+00:00,2024-05-07 04:20:00+00:00,2024-03-13 13:10:00+00:00,2024-05-07 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
