symbol,in_export,in_reconciled_479,in_k0_included_460,in_campaign_187,comparison_status
PF_L3USD,True,True,True,False,reconciled_and_export_noncampaign
PF_LAYERUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_LCAPUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_LDOUSD,True,True,True,True,campaign_exact_mapped
PF_LEVERUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_LINAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_LINEAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_LINKUSD,True,True,True,True,campaign_exact_mapped
PF_LISTAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_LITUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_LOOKSUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_LOOMUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_LPTUSD,True,True,True,True,campaign_exact_mapped
PF_LQTYUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_LRCUSD,True,True,True,True,campaign_exact_mapped
PF_LSKUSD,True,True,True,True,campaign_exact_mapped
PF_LTCUSD,True,True,True,True,campaign_exact_mapped
PF_LUMIAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_LUNA2USD,True,True,True,True,campaign_exact_mapped
PF_LUNAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MAGICUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MAJORUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MANAUSD,True,True,True,True,campaign_exact_mapped
PF_MANTAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MASKUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MATICUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MAVIAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MAVUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MELANIAUSD,True,True,True,True,campaign_exact_mapped
PF_MEMEFIUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MEMEUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MERLUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_METISUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_METUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MEUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MEWUSD,True,True,True,True,campaign_exact_mapped
PF_MINAUSD,True,True,True,True,campaign_exact_mapped
PF_MIRAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MKRUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MNTUSD,True,True,True,True,campaign_exact_mapped
PF_MOCAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MOGUSD,True,True,True,True,campaign_exact_mapped
PF_MONUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MOODENGUSD,True,True,True,True,campaign_exact_mapped
PF_MOONUSD,True,False,False,False,export_only_not_reconciled
PF_MORPHOUSD,True,True,True,True,campaign_exact_mapped
PF_MOVEUSD,True,True,True,True,campaign_exact_mapped
PF_MOVRUSD,True,True,True,True,campaign_exact_mapped
PF_MSTRXUSD,False,True,False,False,reconciled_missing_export_noncampaign
PF_MTLUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MUBARAKUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MYROUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_MYXUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_NCUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_NEARUSD,True,True,True,True,campaign_exact_mapped
PF_NEIROETHUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_NEIROUSD,True,True,True,True,campaign_exact_mapped
PF_NEOUSD,True,True,True,True,campaign_exact_mapped
PF_NIGHTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_NMRUSD,True,True,True,True,campaign_exact_mapped
PF_NOTUSD,True,True,True,True,campaign_exact_mapped
PF_NTRNUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_NVDAXUSD,False,True,False,False,reconciled_missing_export_noncampaign
PF_OCEANUSD,True,True,True,False,reconciled_and_export_noncampaign
