symbol,partition,row_count,numeric_rate_parsing
PF_CHZUSD,pre_rankable_before_2023_excluded,2669,Decimal_schema_only_not_calibration
PF_CHZUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_CHZUSD,rankable_2023_2025,26297,Decimal
PF_CHZUSD,unknown_or_invalid,0,none
PF_CKBUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_CKBUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_CKBUSD,rankable_2023_2025,10275,Decimal
PF_CKBUSD,unknown_or_invalid,0,none
PF_CLOUDUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_CLOUDUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_CLOUDUSD,rankable_2023_2025,4962,Decimal
PF_CLOUDUSD,unknown_or_invalid,0,none
PF_COMPUSD,pre_rankable_before_2023_excluded,2711,Decimal_schema_only_not_calibration
PF_COMPUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_COMPUSD,rankable_2023_2025,26297,Decimal
PF_COMPUSD,unknown_or_invalid,0,none
PF_COOKIEUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_COOKIEUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_COOKIEUSD,rankable_2023_2025,7919,Decimal
PF_COOKIEUSD,unknown_or_invalid,0,none
PF_COREUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_COREUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_COREUSD,rankable_2023_2025,4888,Decimal
PF_COREUSD,unknown_or_invalid,0,none
PF_COSUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_COSUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_COSUSD,rankable_2023_2025,7962,Decimal
PF_COSUSD,unknown_or_invalid,0,none
PF_COTIUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_COTIUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
